hotel_id,aspect,sentiment,mention_count,pos_count,neg_count,is_facility
0,wifi,0.395,38,15,23,1
0,gym,0.0,1,0,1,1
0,restaurant,0.714,35,25,10,1
0,room_service,0.0,1,0,1,1
0,lounge,0.0,2,0,2,1
0,staff,0.819,277,227,50,0
0,cleanliness,0.857,175,150,25,0
0,location,0.907,313,284,29,0
0,room_comfort,0.49,420,206,214,0
0,value,0.581,93,54,39,0
0,noise,0.453,106,48,58,0
0,breakfast,0.376,117,44,73,0
1,wifi,0.286,21,6,15,1
1,gym,0.0,5,0,5,1
1,restaurant,0.7,20,14,6,1
1,room_service,0.5,6,3,3,1
1,lounge,1.0,2,2,0,1
1,event_space,0.5,2,1,1,1
1,staff,0.698,212,148,64,0
1,cleanliness,0.655,87,57,30,0
1,location,0.939,263,247,16,0
1,room_comfort,0.406,350,142,208,0
1,value,0.328,67,22,45,0
1,noise,0.319,72,23,49,0
1,breakfast,0.63,146,92,54,0
2,wifi,0.0,2,0,2,1
2,gym,0.0,1,0,1,1
2,sauna,0.5,2,1,1,1
2,restaurant,0.917,12,11,1,1
2,room_service,1.0,2,2,0,1
2,lounge,0.0,1,0,1,1
2,staff,0.878,49,43,6,0
2,cleanliness,0.5,6,3,3,0
2,location,0.981,52,51,1,0
2,room_comfort,0.604,53,32,21,0
2,value,0.154,13,2,11,0
2,noise,0.778,18,14,4,0
2,breakfast,0.367,30,11,19,0
3,wifi,0.0,7,0,7,1
3,gym,0.0,1,0,1,1
3,restaurant,1.0,23,23,0,1
3,room_service,1.0,1,1,0,1
3,staff,0.877,65,57,8,0
3,cleanliness,0.727,22,16,6,0
3,location,0.925,80,74,6,0
3,room_comfort,0.644,90,58,32,0
3,value,0.385,13,5,8,0
3,noise,0.476,21,10,11,0
3,breakfast,0.688,16,11,5,0
4,wifi,0.5,2,1,1,1
4,restaurant,0.941,17,16,1,1
4,room_service,0.0,2,0,2,1
4,staff,0.908,76,69,7,0
4,cleanliness,0.8,15,12,3,0
4,location,0.914,58,53,5,0
4,room_comfort,0.674,86,58,28,0
4,value,0.412,17,7,10,0
4,noise,0.267,15,4,11,0
4,breakfast,0.649,37,24,13,0
5,wifi,0.5,10,5,5,1
5,pool,0.0,1,0,1,1
5,gym,0.333,9,3,6,1
5,restaurant,0.788,85,67,18,1
5,room_service,0.0,2,0,2,1
5,lounge,0.333,6,2,4,1
5,event_space,1.0,1,1,0,1
5,staff,0.879,248,218,30,0
5,cleanliness,0.787,94,74,20,0
5,location,0.955,378,361,17,0
5,room_comfort,0.677,368,249,119,0
5,value,0.325,83,27,56,0
5,noise,0.345,119,41,78,0
5,breakfast,0.679,140,95,45,0
6,wifi,0.34,47,16,31,1
6,gym,0.333,6,2,4,1
6,restaurant,0.855,69,59,10,1
6,room_service,0.25,4,1,3,1
6,lounge,0.0,2,0,2,1
6,staff,0.725,331,240,91,0
6,cleanliness,0.753,219,165,54,0
6,location,0.961,439,422,17,0
6,room_comfort,0.441,655,289,366,0
6,value,0.13,138,18,120,0
6,noise,0.415,53,22,31,0
6,breakfast,0.75,260,195,65,0
7,wifi,0.742,66,49,17,1
7,gym,0.538,13,7,6,1
7,sauna,0.4,5,2,3,1
7,restaurant,0.505,97,49,48,1
7,room_service,0.25,4,1,3,1
7,lounge,0.93,57,53,4,1
7,event_space,1.0,1,1,0,1
7,staff,0.909,570,518,52,0
7,cleanliness,0.856,340,291,49,0
7,location,0.811,562,456,106,0
7,room_comfort,0.735,702,516,186,0
7,value,0.457,197,90,107,0
7,noise,0.667,105,70,35,0
7,breakfast,0.648,256,166,90,0
8,wifi,0.4,30,12,18,1
8,gym,0.0,4,0,4,1
8,restaurant,0.675,80,54,26,1
8,room_service,0.5,6,3,3,1
8,lounge,1.0,1,1,0,1
8,event_space,1.0,1,1,0,1
8,staff,0.813,445,362,83,0
8,cleanliness,0.75,204,153,51,0
8,location,0.921,456,420,36,0
8,room_comfort,0.495,632,313,319,0
8,value,0.525,122,64,58,0
8,noise,0.594,64,38,26,0
8,breakfast,0.733,307,225,82,0
9,wifi,0.5,6,3,3,1
9,pool,0.5,2,1,1,1
9,sauna,0.667,9,6,3,1
9,restaurant,1.0,7,7,0,1
9,room_service,0.0,1,0,1,1
9,lounge,1.0,1,1,0,1
9,staff,0.943,53,50,3,0
9,cleanliness,0.8,15,12,3,0
9,location,0.933,60,56,4,0
9,room_comfort,0.571,77,44,33,0
9,value,0.2,15,3,12,0
9,noise,0.818,11,9,2,0
9,breakfast,0.348,23,8,15,0
10,wifi,0.267,15,4,11,1
10,gym,0.667,6,4,2,1
10,sauna,0.5,4,2,2,1
10,restaurant,0.389,18,7,11,1
10,room_service,0.2,10,2,8,1
10,event_space,1.0,1,1,0,1
10,staff,0.729,96,70,26,0
10,cleanliness,0.712,52,37,15,0
10,location,0.613,62,38,24,0
10,room_comfort,0.631,160,101,59,0
10,value,0.256,43,11,32,0
10,noise,0.625,24,15,9,0
10,breakfast,0.653,95,62,33,0
11,wifi,0.567,30,17,13,1
11,gym,0.25,4,1,3,1
11,restaurant,0.56,50,28,22,1
11,room_service,0.375,8,3,5,1
11,lounge,0.0,1,0,1,1
11,event_space,0.0,2,0,2,1
11,staff,0.731,223,163,60,0
11,cleanliness,0.771,83,64,19,0
11,location,0.927,424,393,31,0
11,room_comfort,0.355,499,177,322,0
11,value,0.232,95,22,73,0
11,noise,0.322,115,37,78,0
11,breakfast,0.398,118,47,71,0
12,wifi,0.333,36,12,24,1
12,gym,0.0,3,0,3,1
12,restaurant,0.941,17,16,1,1
12,room_service,0.0,1,0,1,1
12,lounge,0.667,3,2,1,1
12,event_space,0.0,1,0,1,1
12,staff,0.922,218,201,17,0
12,cleanliness,0.908,98,89,9,0
12,location,0.876,186,163,23,0
12,room_comfort,0.67,194,130,64,0
12,value,0.483,29,14,15,0
12,noise,0.455,55,25,30,0
12,breakfast,0.633,60,38,22,0
13,wifi,0.429,7,3,4,1
13,restaurant,0.667,9,6,3,1
13,room_service,0.0,1,0,1,1
13,lounge,1.0,1,1,0,1
13,staff,0.744,39,29,10,0
13,cleanliness,0.833,18,15,3,0
13,location,0.926,54,50,4,0
13,room_comfort,0.431,58,25,33,0
13,value,0.222,9,2,7,0
13,noise,0.444,9,4,5,0
13,breakfast,0.686,35,24,11,0
14,wifi,0.25,4,1,3,1
14,restaurant,0.857,7,6,1,1
14,room_service,0.0,1,0,1,1
14,staff,0.9,30,27,3,0
14,cleanliness,0.818,11,9,2,0
14,location,0.969,32,31,1,0
14,room_comfort,0.513,39,20,19,0
14,value,0.556,9,5,4,0
14,noise,0.5,8,4,4,0
14,breakfast,0.625,8,5,3,0
15,wifi,0.252,155,39,116,1
15,pool,0.543,335,182,153,1
15,gym,0.681,69,47,22,1
15,sauna,0.587,218,128,90,1
15,restaurant,0.609,266,162,104,1
15,room_service,0.548,135,74,61,1
15,lounge,0.686,105,72,33,1
15,event_space,0.189,37,7,30,1
15,staff,0.669,1714,1146,568,0
15,cleanliness,0.641,713,457,256,0
15,location,0.943,2135,2014,121,0
15,room_comfort,0.588,2893,1700,1193,0
