hotel_id,name,address,city,country,latitude,longitude,avg_score,total_reviews,price_per_night,has_wifi,has_pool,has_gym,has_sauna,has_restaurant,has_room_service,has_lounge,has_event_space
0,Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,London,United Kingdom,51.5054544,-0.2262216,8.0,1069,235,1,0,0,0,1,0,0,0
1,Holiday Inn London Oxford Circus,57 59 Welbeck Street Westminster Borough London W1G 9BL United Kingdom,London,United Kingdom,51.516843,-0.1495574,7.5,1287,210,1,0,0,0,1,0,0,0
2,Relais Christine,3 Rue Christine 6th arr 75006 Paris France,Paris,France,48.8542454,2.339956,9.1,287,295,1,0,0,0,1,0,0,0
3,H tel Le M,20 bis rue de la Ga t 14th arr 75014 Paris France,Paris,France,48.8397623,2.3235324,8.2,1140,220,1,0,0,0,1,0,0,0
4,Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009 Paris France,Paris,France,48.880856,2.3375085,9.1,399,245,1,0,0,0,1,0,0,0
5,Dikker en Thijs Fenice Hotel,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,Amsterdam,Netherlands,52.364971,4.8839827,8.4,1971,220,1,0,1,0,1,0,0,0
6,NH City Centre Amsterdam,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,Amsterdam,Netherlands,52.3697554,4.8887815,8.2,3417,230,1,0,0,0,1,0,0,0
7,Urban Lodge Hotel,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,Amsterdam,Netherlands,52.3856494,4.834443,8.6,5018,205,1,0,0,0,1,0,1,0
8,Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,London,United Kingdom,51.5108439,-0.1839074,8.2,2134,220,1,0,0,0,1,0,0,0
9,Platine Hotel Spa,20 rue de l Ing nieur Robert Keller 15th arr 75015 Paris France,Paris,France,48.8473459,2.2832408,8.6,729,250,1,0,0,1,1,0,0,0
10,NH Amsterdam Zuid,Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,Amsterdam,Netherlands,52.3266672,4.8800884,7.8,1245,205,1,0,1,0,1,1,0,0
11,Mercure London Paddington Hotel,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,London,United Kingdom,51.5161139,-0.1749521,7.6,1458,230,1,0,0,0,1,0,0,0
12,H tel Hor,160 Rue La Fayette 10th arr 75010 Paris France,Paris,France,48.8793427,2.3577745,8.6,1090,235,1,0,0,0,1,0,0,0
13,LHP Hotel Napoleon,Via Ozanam 12 Citt Studi 20129 Milan Italy,Milan,Italy,45.4802415,9.2131919,8.3,599,200,1,0,0,0,1,0,0,0
14,Hotel Georgette,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,Paris,France,48.8632723,2.352691,8.8,307,225,1,0,0,0,1,0,0,0
15,Park Plaza Westminster Bridge London,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,London,United Kingdom,51.5009609,-0.1165913,8.7,12158,280,1,1,1,1,1,1,1,0
16,Villa d Estr es,17 rue g t le coeur 6th arr 75006 Paris France,Paris,France,48.8535089,2.3425787,8.7,59,265,1,0,0,0,1,0,0,0
17,H tel Elysees Mermoz,30 Rue Jean Mermoz 8th arr 75008 Paris France,Paris,France,48.8715079,2.3122259,8.7,564,245,1,0,0,0,1,0,0,0
18,Le Pavillon de la Reine Spa,28 place des Vosges 3rd arr 75003 Paris France,Paris,France,48.8562725,2.3660412,9.2,376,265,1,0,1,1,1,1,0,0
19,Shaftesbury Hyde Park International,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,London,United Kingdom,51.5123968,-0.186124,8.0,2907,235,1,0,0,0,1,0,0,0
20,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,London,United Kingdom,51.5142184,-0.1809032,7.7,4380,235,1,0,0,0,1,1,0,0
21,Gran Hotel La Florida,Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,Barcelona,Spain,41.4253332,2.1211028,8.7,943,180,1,1,1,1,1,1,0,0
22,Andreola Central Hotel,Via Domenico Scarlatti 24 Central Station 20124 Milan Italy,Milan,Italy,45.4836517,9.2078581,8.3,1135,205,1,0,0,0,1,0,0,0
23,Novotel London Excel,7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,London,United Kingdom,51.5077198,0.0229805,8.5,1158,270,1,0,1,0,1,1,0,0
24,Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,Milan,Italy,45.4651371,9.1895249,9.3,2011,225,1,0,1,0,1,1,0,0
25,Dorset Square Hotel,39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,London,United Kingdom,51.5226361,-0.1602871,9.0,263,280,0,0,0,0,1,1,0,0
26,H tel France d Antin Op ra,22 rue d Antin 2nd arr 75002 Paris France,Paris,France,48.8692566,2.3339369,8.5,173,240,1,0,0,0,1,0,0,0
27,Glam Milano,Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,Milan,Italy,45.4838504,9.2034067,8.8,7371,205,1,0,0,0,1,0,0,0
28,Corendon Vitality Hotel Amsterdam,Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,Amsterdam,Netherlands,52.3466449,4.8310984,8.4,4410,200,1,1,1,1,1,1,0,0
29,Arenas Atiram Hotels,Capitan Arenas 20 Les Corts 08034 Barcelona Spain,Barcelona,Spain,41.3904305,2.1262314,7.5,779,160,1,0,0,0,1,0,0,0
30,Threadneedles Autograph Collection,5 Threadneedle Street City of London London EC2R 8AY United Kingdom,London,United Kingdom,51.5140208,-0.0854919,8.8,390,265,1,0,0,0,1,1,0,0
31,The Hub Hotel,Via Privata Polonia 10 20157 Milan Italy,Milan,Italy,45.5138582,9.1194759,7.7,1160,175,1,1,1,1,1,0,0,0
32,Hotel Barcelona Center,Balmes 103 105 Eixample 08008 Barcelona Spain,Barcelona,Spain,41.3917169,2.1592614,8.4,1472,175,1,0,0,1,1,1,0,0
33,Ca Bianca Hotel Corte Del Naviglio,Via Lodovico Il Moro 117 Navigli 20143 Milan Italy,Milan,Italy,45.443502,9.1377081,7.7,1319,170,1,0,0,0,1,0,0,0
34,Holiday Inn Paris Saint Germain des Pr s,92 rue de Vaugirard 6th arr 75006 Paris France,Paris,France,48.846837,2.3258066,8.1,1407,220,1,0,0,0,1,0,0,0
35,Palais Coburg Residenz,Coburgbastei 4 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2058584,16.3766545,9.5,98,185,1,0,0,0,1,0,0,0
36,Grange Blooms Hotel,7 Montague Street Bloomsbury Camden London WC1B 5BP United Kingdom,London,United Kingdom,51.5196913,-0.1254243,8.3,393,235,1,0,0,0,1,1,0,0
37,Mercure London Bloomsbury Hotel,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,London,United Kingdom,51.5210085,-0.1230966,8.3,1361,245,1,0,0,0,1,0,0,0
38,Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,London,United Kingdom,51.5208575,-0.0779503,9.4,644,295,1,0,0,0,1,1,1,0
39,Andaz Amsterdam Prinsengracht A Hyatt Hotel,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,Amsterdam,Netherlands,52.3678368,4.8830788,9.3,851,235,0,0,0,1,1,1,0,0
40,Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,Amsterdam,Netherlands,52.333803,4.8884708,7.8,2501,200,1,0,1,0,1,1,0,0
41,Grand Visconti Palace,Viale Isonzo 14 Porta Romana 20135 Milan Italy,Milan,Italy,45.4471408,9.2070051,8.6,1536,205,1,1,1,1,1,1,0,0
42,Holiday Inn London Kensington Forum,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,London,United Kingdom,51.4942305,-0.1851141,7.8,3867,235,1,0,0,0,1,0,1,0
43,Les Jardins Du Marais,74 rue Amelot 11th arr 75011 Paris France,Paris,France,48.8605219,2.3680239,8.1,838,215,1,0,1,1,1,1,0,0
44,Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,London,United Kingdom,51.4950098,-0.1906195,7.5,1016,210,1,0,0,0,1,0,0,0
45,Hotel Balmoral,Via Augusta 5 08006 Barcelona Spain,Barcelona,Spain,41.3961294,2.1551626,8.3,1023,160,1,1,1,1,1,0,0,0
46,Olivia Balmes Hotel,Balmes 117 Eixample 08008 Barcelona Spain,Barcelona,Spain,41.392095,2.158493,9.3,1835,215,1,1,1,0,1,0,0,0
47,Le Parisis Paris Tour Eiffel,102 Bd De Grenelle 15th arr 75015 Paris France,Paris,France,48.8494851,2.2955063,8.6,1477,240,1,0,0,0,1,1,0,0
48,Ashburn Hotel,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,London,United Kingdom,51.4945522,-0.1861213,8.6,629,245,1,0,0,0,1,0,1,0
49,Great Northern Hotel A Tribute Portfolio Hotel London,King s Cross St Pancras International Station Pancras Road Camden London N1C 4TB United Kingdom,London,United Kingdom,51.531427,-0.126133,8.9,1110,250,1,0,0,0,1,0,0,0
50,Lindner Hotel Am Belvedere,Rennweg 12 03 Landstra e 1030 Vienna Austria,Vienna,Austria,48.1955998,16.3826989,8.4,790,195,1,0,1,1,1,0,0,0
51,Eurostars Angli,Angli 60 Sarri St Gervasi 08017 Barcelona Spain,Barcelona,Spain,41.4031654,2.1231637,8.3,847,165,1,1,0,0,1,1,0,0
52,The Montcalm Marble Arch,2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,London,United Kingdom,51.5150522,-0.159239,8.9,2752,290,1,0,0,1,1,1,1,0
53,Hotel Bristol A Luxury Collection Hotel,K rntner Ring 1 01 Innere Stadt 1015 Vienna Austria,Vienna,Austria,48.2024907,16.3702656,9.1,336,225,1,0,0,0,1,1,1,0
54,Hotel Capitol Milano,Via Cimarosa 6 Fiera Milano City 20144 Milan Italy,Milan,Italy,45.4661781,9.1588367,8.3,584,200,1,0,0,1,1,0,0,0
55,Hotel Royal Elys es,6 Avenue Victor Hugo 16th arr 75116 Paris France,Paris,France,48.8729666,2.2926226,7.0,251,185,0,0,0,0,1,0,0,0
56,Hotel Wandl,Petersplatz 9 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2097026,16.3703902,8.5,1799,210,1,0,0,0,1,0,0,0
57,Best Western Atlantic Hotel,Via Napo Torriani 24 Central Station 20124 Milan Italy,Milan,Italy,45.4830211,9.2033246,8.5,1738,185,1,0,0,0,1,0,0,0
58,Sall s Hotel Pere IV,Pallars 128 130 Sant Mart 08018 Barcelona Spain,Barcelona,Spain,41.3969273,2.192267,7.9,3130,170,1,1,1,1,1,0,0,0
59,London Marriott Hotel Regents Park,128 King Henry s Road Camden London NW3 3ST United Kingdom,London,United Kingdom,51.5421476,-0.1703073,8.3,1640,245,1,1,1,1,1,1,0,0
60,Grange Rochester Hotel,69 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,London,United Kingdom,51.4942654,-0.1366026,8.2,1046,240,1,0,0,0,1,1,0,0
61,Best Western Mercedes Arc de Triomphe,128 avenue de Wagram 17th arr 75017 Paris France,Paris,France,48.8848292,2.3035189,7.8,368,210,1,0,0,1,1,0,0,0
62,Maison Borella,Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,Milan,Italy,45.4521067,9.1758135,9.1,777,220,1,0,0,0,1,0,1,0
63,L Hotel Pergol se Paris,3 Rue Pergolese 16th arr 75116 Paris France,Paris,France,48.8756618,2.2863468,8.2,1281,225,1,0,0,0,1,1,0,0
64,Melia Paris Tour Eiffel,35 Rue Jean Goujon 8th arr 75008 Paris France,Paris,France,48.8651994,2.3045076,8.1,241,230,1,0,0,0,0,0,0,0
65,Copthorne Tara Hotel London Kensington,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,London,United Kingdom,51.499046,-0.1917073,8.1,7105,225,1,0,0,0,1,1,1,0
66,Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,London,United Kingdom,51.5019097,-0.0232208,7.1,9086,185,1,1,1,1,1,1,0,0
67,Hotel Roemer Amsterdam,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,Amsterdam,Netherlands,52.3617577,4.8780052,8.3,974,200,1,0,0,1,1,0,0,0
68,St James Hotel Club Mayfair,7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,London,United Kingdom,51.5061587,-0.1402803,8.7,363,270,1,0,1,0,1,1,0,0
69,Palazzo Parigi Hotel Grand Spa Milano,Corso Di Porta Nuova 1 Milan City Center 20121 Milan Italy,Milan,Italy,45.473348,9.1910733,9.3,534,240,1,1,0,1,1,0,0,0
70,H tel La Parizienne by Elegancia,33 Boulevard du Montparnasse 6th arr 75006 Paris France,Paris,France,48.8450894,2.3209503,8.5,672,250,1,0,0,0,1,0,0,0
71,Onix Liceo,Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,Barcelona,Spain,41.3780229,2.1730782,8.1,1257,165,1,1,0,0,1,0,0,0
72,NH Milano Touring,Via Tarchetti 2 Milan City Center 20121 Milan Italy,Milan,Italy,45.4769167,9.196665,8.4,4568,190,1,0,0,0,1,1,0,0
73,Admiral Hotel,Via Domodossola 16 Fiera Milano City 20145 Milan Italy,Milan,Italy,45.480515,9.160063,7.3,330,165,1,0,0,0,1,0,0,0
74,Palais Hansen Kempinski Vienna,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2163149,16.3685103,9.2,865,230,1,1,0,1,1,1,1,0
75,DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,Amsterdam,Netherlands,52.376752,4.904618,8.4,3911,220,1,0,0,0,1,1,1,0
76,Park Grand London Hyde Park,78 82 Westbourne Terrace Westminster Borough London W2 6QA United Kingdom,London,United Kingdom,51.5157316,-0.1802179,7.5,1891,215,1,0,0,0,1,0,0,0
77,Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,London,United Kingdom,51.5166755,-0.0697897,8.9,2197,270,1,0,0,0,1,0,0,0
78,Thistle Euston,Cardington Street Euston Camden London NW1 2LP United Kingdom,London,United Kingdom,51.5291423,-0.1372782,8.3,2474,255,1,0,0,0,1,1,0,0
